cluster	length	species	N	S	dN	dS	NdN	SdS	w	lnl
ENSGACT00000000049	1146	gac	961.8	184.2	0.025116	0.198657	24.1565688	36.5926194	0.126428	-3381.345360
ENSGACT00000000049	1146	pol	961.8	184.2	0.040577	0.183661	39.0269586	33.8303562	0.220937	-3381.345360
ENSGACT00000000049	1146	ss	961.8	184.2	0.011745	0.150007	11.296341	27.6312894	0.0782997	-3381.345360
ENSGACT00000000049	1146	tor	961.8	184.2	0.028556	0.350808	27.4651608	64.6188336	0.0813996	-3381.345360
ENSGACT00000000051	2037	ds	1678.3	358.7	0.004386	0.000004	7.3610238	0.0014348	999	-5323.855173
ENSGACT00000000051	2037	gac	1678.3	358.7	0.020221	0.398912	33.9369043	143.0897344	0.050691	-5323.855173
ENSGACT00000000051	2037	pol	1678.3	358.7	0.014863	0.410914	24.9445729	147.3948518	0.0361695	-5323.855173
ENSGACT00000000051	2037	ss	1678.3	358.7	0.009729	0.164713	16.3281807	59.0825531	0.0590672	-5323.855173
ENSGACT00000000051	2037	tor	1678.3	358.7	0.014041	0.212120	23.5650103	76.087444	0.0661942	-5323.855173
ENSGACT00000000077	1176	ds	911.7	264.3	0.003467	0.027474	3.1608639	7.2613782	0.126199	-2929.200757
ENSGACT00000000077	1176	gac	911.7	264.3	0.014814	0.157865	13.5059238	41.7237195	0.0938423	-2929.200757
ENSGACT00000000077	1176	pol	911.7	264.3	0.015476	0.249815	14.1094692	66.0261045	0.0619497	-2929.200757
ENSGACT00000000077	1176	ss	911.7	264.3	0.008242	0.111514	7.5142314	29.4731502	0.073914	-2929.200757
ENSGACT00000000077	1176	tor	911.7	264.3	0.013257	0.110704	12.0864069	29.2590672	0.119752	-2929.200757
ENSGACT00000000078	1452	ds	1150.3	301.7	0.005777	0.002162	6.6452831	0.6522754	2.67202	-3323.415959
ENSGACT00000000078	1452	gac	1150.3	301.7	0.013802	0.228574	15.8764406	68.9607758	0.0603839	-3323.415959
ENSGACT00000000078	1452	pol	1150.3	301.7	0.009202	0.219084	10.5850606	66.0976428	0.0420043	-3323.415959
ENSGACT00000000078	1452	ss	1150.3	301.7	0.001926	0.128255	2.2154778	38.6945335	0.0150151	-3323.415959
ENSGACT00000000078	1452	tor	1150.3	301.7	0.003848	0.138528	4.4263544	41.7938976	0.0277781	-3323.415959
ENSGACT00000000081	879	ds	673.9	205.1	0.008836	0.036274	5.9545804	7.4397974	0.243585	-2310.376045
ENSGACT00000000081	879	gac	673.9	205.1	0.023132	0.109378	15.5886548	22.4334278	0.211488	-2310.376045
ENSGACT00000000081	879	pol	673.9	205.1	0.015331	0.234144	10.3315609	48.0229344	0.0654758	-2310.376045
ENSGACT00000000081	879	ss	673.9	205.1	0.006200	0.039364	4.17818	8.0735564	0.157501	-2310.376045
ENSGACT00000000081	879	tor	673.9	205.1	0.016831	0.229100	11.3424109	46.98841	0.0734656	-2310.376045
ENSGACT00000000087	1164	ds	911.4	252.6	0.000324	0.013454	0.2952936	3.3984804	0.0240562	-3747.240683
ENSGACT00000000087	1164	gac	911.4	252.6	0.073672	0.249119	67.1446608	62.9274594	0.295731	-3747.240683
ENSGACT00000000087	1164	pol	911.4	252.6	0.073780	0.292268	67.243092	73.8268968	0.252438	-3747.240683
ENSGACT00000000087	1164	ss	911.4	252.6	0.017441	0.123329	15.8957274	31.1529054	0.141419	-3747.240683
ENSGACT00000000087	1164	tor	911.4	252.6	0.042216	0.234550	38.4756624	59.24733	0.179985	-3747.240683
ENSGACT00000000088	4086	ds	3137.4	948.6	0.007307	0.006097	22.9249818	5.7836142	1.19836	-10838.170670
ENSGACT00000000088	4086	gac	3137.4	948.6	0.023584	0.216204	73.9924416	205.0911144	0.109081	-10838.170670
ENSGACT00000000088	4086	pol	3137.4	948.6	0.027281	0.310028	85.5914094	294.0925608	0.0879968	-10838.170670
ENSGACT00000000088	4086	ss	3137.4	948.6	0.007758	0.139503	24.3399492	132.3325458	0.0556096	-10838.170670
ENSGACT00000000088	4086	tor	3137.4	948.6	0.014863	0.203989	46.6311762	193.5039654	0.0728633	-10838.170670
ENSGACT00000000089	771	ds	627.2	143.8	0.003120	0.023101	1.956864	3.3219238	0.135065	-1680.235465
ENSGACT00000000089	771	gac	627.2	143.8	0.009360	0.235928	5.870592	33.9264464	0.0396738	-1680.235465
ENSGACT00000000089	771	pol	627.2	143.8	0.011910	0.336749	7.469952	48.4245062	0.0353673	-1680.235465
ENSGACT00000000089	771	ss	627.2	143.8	0.003112	0.030837	1.9518464	4.4343606	0.100935	-1680.235465
ENSGACT00000000089	771	tor	627.2	143.8	0.003252	0.171400	2.0396544	24.64732	0.0189737	-1680.235465
ENSGACT00000000091	1026	ds	789.4	236.6	0.032102	0.000032	25.3413188	0.0075712	999	-3167.122406
ENSGACT00000000091	1026	gac	789.4	236.6	0.045347	0.220331	35.7969218	52.1303146	0.205815	-3167.122406
ENSGACT00000000091	1026	pol	789.4	236.6	0.062964	0.255992	49.7037816	60.5677072	0.24596	-3167.122406
ENSGACT00000000091	1026	ss	789.4	236.6	0.008478	0.152260	6.6925332	36.024716	0.0556838	-3167.122406
ENSGACT00000000091	1026	tor	789.4	236.6	0.033283	0.126603	26.2736002	29.9542698	0.262895	-3167.122406
ENSGACT00000000098	1407	ds	1158.5	248.5	0.000865	0.001227	1.0021025	0.3049095	0.704716	-3194.698518
ENSGACT00000000098	1407	gac	1158.5	248.5	0.017847	0.164750	20.6757495	40.940375	0.108325	-3194.698518
ENSGACT00000000098	1407	pol	1158.5	248.5	0.009728	0.221749	11.269888	55.1046265	0.043868	-3194.698518
ENSGACT00000000098	1407	ss	1158.5	248.5	0.004075	0.064228	4.7208875	15.960658	0.0634475	-3194.698518
ENSGACT00000000098	1407	tor	1158.5	248.5	0.014037	0.270705	16.2618645	67.2701925	0.0518536	-3194.698518
ENSGACT00000000105	2361	ds	1753.9	607.1	0.006234	0.029176	10.9338126	17.7127496	0.213661	-6450.319142
ENSGACT00000000105	2361	gac	1753.9	607.1	0.027380	0.186102	48.021782	112.9825242	0.147121	-6450.319142
ENSGACT00000000105	2361	pol	1753.9	607.1	0.036028	0.196313	63.1895092	119.1816223	0.183524	-6450.319142
ENSGACT00000000105	2361	ss	1753.9	607.1	0.019285	0.099345	33.8239615	60.3123495	0.194119	-6450.319142
ENSGACT00000000105	2361	tor	1753.9	607.1	0.021063	0.138687	36.9423957	84.1968777	0.151872	-6450.319142
ENSGACT00000000107	366	ds	272.9	93.1	0.003217	0.051851	0.8779193	4.8273281	0.062036	-1105.213288
ENSGACT00000000107	366	gac	272.9	93.1	0.011962	0.410912	3.2644298	38.2559072	0.0291109	-1105.213288
ENSGACT00000000107	366	pol	272.9	93.1	0.041469	0.543617	11.3168901	50.6107427	0.0762837	-1105.213288
ENSGACT00000000107	366	ss	272.9	93.1	0.010876	0.070358	2.9680604	6.5503298	0.15458	-1105.213288
ENSGACT00000000107	366	tor	272.9	93.1	0.038742	0.221221	10.5726918	20.5956751	0.175129	-1105.213288
ENSGACT00000000110	534	ds	398.8	135.2	0.005733	0.018708	2.2863204	2.5293216	0.306451	-1342.756293
ENSGACT00000000110	534	gac	398.8	135.2	0.016502	0.214591	6.5809976	29.0127032	0.0768976	-1342.756293
ENSGACT00000000110	534	pol	398.8	135.2	0.018440	0.191421	7.353872	25.8801192	0.0963329	-1342.756293
ENSGACT00000000110	534	ss	398.8	135.2	0.006089	0.049813	2.4282932	6.7347176	0.122247	-1342.756293
ENSGACT00000000110	534	tor	398.8	135.2	0.015130	0.126251	6.033844	17.0691352	0.119838	-1342.756293
ENSGACT00000000113	369	ds	298.2	70.8	0.014733	0.063057	4.3933806	4.4644356	0.233639	-1176.055520
ENSGACT00000000113	369	gac	298.2	70.8	0.035437	0.444880	10.5673134	31.497504	0.0796557	-1176.055520
ENSGACT00000000113	369	pol	298.2	70.8	0.074839	0.364373	22.3169898	25.7976084	0.20539	-1176.055520
ENSGACT00000000113	369	ss	298.2	70.8	0.022075	0.076006	6.582765	5.3812248	0.290434	-1176.055520
ENSGACT00000000113	369	tor	298.2	70.8	0.071080	0.327567	21.196056	23.1917436	0.216995	-1176.055520
